Credit used (%),Months since last late payment,On-time payment rate (%),Number of loans,Loans not paid off (%),Months since last credit application,CreditScore
43.0,11.0,83.0,18.0,56.0,0.0,Bad
41.0,8.0,79.0,29.0,73.0,0.0,Bad
11.0,4.0,75.0,16.0,38.0,0.0,Bad
5.0,2.0,96.0,57.0,25.0,0.0,Bad
23.0,38.0,86.0,7.0,80.0,0.0,Good
44.0,10.0,88.0,16.0,88.0,0.0,Good
55.0,6.0,89.0,28.0,78.0,0.0,Bad
28.0,69.0,94.0,18.0,63.0,0.0,Good
30.0,28.0,89.0,18.0,80.0,0.0,Good
17.0,3.0,91.0,32.0,52.0,0.0,Bad
10.0,9.0,88.0,32.0,45.0,0.0,Bad
35.0,8.0,94.0,32.0,62.0,0.0,Bad
52.0,6.0,50.0,10.0,100.0,0.0,Bad
4.0,13.0,94.0,34.0,69.0,0.0,Good
70.0,5.0,90.0,21.0,80.0,0.0,Bad
94.0,20.0,94.0,16.0,86.0,0.0,Bad
74.0,6.0,81.0,26.0,64.0,0.0,Bad
90.0,58.0,80.0,35.0,94.0,0.0,Bad
7.0,16.0,96.0,27.0,73.0,0.0,Bad
44.0,1.0,76.0,33.0,80.0,0.0,Bad
58.0,1.0,96.0,27.0,67.0,0.0,Bad
103.0,11.0,71.0,7.0,100.0,17.0,Bad
86.0,9.0,96.0,27.0,87.0,2.0,Bad
14.0,5.0,92.0,13.0,40.0,0.0,Bad
28.0,62.0,94.0,17.0,58.0,0.0,Good
12.0,16.0,98.0,40.0,71.0,5.0,Good
0.0,17.0,94.0,17.0,25.0,5.0,Good
41.0,42.0,86.0,29.0,67.0,13.0,Good
11.0,24.0,94.0,34.0,64.0,1.0,Good
4.0,41.0,46.0,13.0,100.0,2.0,Good
12.0,16.0,74.0,29.0,57.0,4.0,Bad
69.0,9.0,83.0,12.0,83.0,0.0,Bad
64.0,19.0,76.0,17.0,89.0,1.0,Bad
40.0,9.0,95.0,41.0,85.0,0.0,Bad
59.0,3.0,96.0,26.0,69.0,0.0,Good
70.0,15.0,92.0,26.0,68.0,11.0,Bad
81.0,6.0,81.0,22.0,83.0,0.0,Bad
71.0,68.0,94.0,16.0,92.0,1.0,Bad
55.0,13.0,91.0,11.0,90.0,0.0,Bad
93.0,41.0,96.0,24.0,77.0,0.0,Bad
1.0,46.0,96.0,56.0,44.0,0.0,Good
3.0,32.0,95.0,20.0,55.0,19.0,Good
35.0,28.0,96.0,25.0,67.0,9.0,Bad
63.0,8.0,79.0,24.0,77.0,0.0,Bad
54.0,30.0,96.0,47.0,63.0,5.0,Good
48.0,29.0,93.0,15.0,75.0,5.0,Good
55.0,26.0,94.0,34.0,79.0,2.0,Good
9.0,3.0,92.0,13.0,75.0,2.0,Good
76.0,11.0,81.0,37.0,71.0,1.0,Bad
76.0,55.0,95.0,22.0,86.0,1.0,Bad
54.0,31.0,95.0,19.0,63.0,16.0,Good
4.0,6.0,81.0,32.0,78.0,1.0,Good
1.0,20.0,97.0,39.0,55.0,1.0,Bad
9.0,25.0,93.0,14.0,43.0,1.0,Bad
0.0,7.0,88.0,17.0,56.0,0.0,Good
74.0,69.0,98.0,45.0,100.0,2.0,Bad
53.0,46.0,90.0,10.0,90.0,4.0,Bad
67.0,1.0,89.0,27.0,75.0,11.0,Bad
68.0,1.0,94.0,17.0,100.0,9.0,Bad
7.0,5.0,96.0,27.0,67.0,1.0,Bad
59.0,55.0,90.0,10.0,75.0,1.0,Bad
15.0,1.0,62.0,29.0,63.0,1.0,Bad
33.0,12.0,76.0,29.0,50.0,15.0,Bad
79.0,21.0,86.0,42.0,82.0,5.0,Good
14.0,1.0,94.0,49.0,52.0,0.0,Bad
0.0,12.0,95.0,21.0,50.0,12.0,Bad
39.0,28.0,95.0,63.0,56.0,0.0,Bad
0.0,14.0,98.0,46.0,25.0,0.0,Good
91.0,1.0,92.0,13.0,75.0,0.0,Good
49.0,18.0,83.0,6.0,100.0,4.0,Bad
73.0,17.0,88.0,33.0,73.0,16.0,Bad
35.0,13.0,97.0,71.0,75.0,20.0,Good
0.0,41.0,94.0,16.0,38.0,5.0,Good
74.0,65.0,96.0,49.0,73.0,7.0,Good
10.0,59.0,93.0,45.0,45.0,0.0,Bad
18.0,9.0,94.0,36.0,44.0,11.0,Bad
37.0,8.0,82.0,22.0,57.0,5.0,Good
53.0,6.0,86.0,21.0,73.0,3.0,Bad
11.0,8.0,92.0,36.0,87.0,0.0,Good
64.0,44.0,74.0,38.0,90.0,5.0,Good
54.0,4.0,90.0,23.0,60.0,0.0,Bad
39.0,50.0,93.0,15.0,90.0,12.0,Bad
27.0,44.0,82.0,22.0,69.0,0.0,Good
73.0,11.0,93.0,14.0,100.0,0.0,Bad
26.0,21.0,89.0,18.0,78.0,0.0,Bad
52.0,9.0,93.0,28.0,86.0,0.0,Bad
35.0,6.0,86.0,21.0,73.0,0.0,Bad
32.0,4.0,92.0,13.0,70.0,0.0,Good
47.0,24.0,95.0,20.0,60.0,0.0,Good
27.0,40.0,97.0,29.0,50.0,0.0,Bad
64.0,2.0,96.0,25.0,50.0,3.0,Good
5.0,23.0,70.0,20.0,60.0,1.0,Good
11.0,6.0,86.0,22.0,100.0,1.0,Good
28.0,3.0,80.0,31.0,53.0,12.0,Good
27.0,6.0,63.0,44.0,64.0,6.0,Bad
28.0,20.0,96.0,27.0,56.0,2.0,Bad
39.0,0.0,87.0,30.0,55.0,0.0,Bad
45.0,20.0,98.0,49.0,82.0,2.0,Bad
47.0,36.0,96.0,25.0,67.0,6.0,Good
33.0,24.0,91.0,23.0,71.0,1.0,Good
12.0,12.0,96.0,25.0,29.0,4.0,Bad
27.0,11.0,77.0,23.0,50.0,14.0,Bad
0.0,9.0,87.0,15.0,60.0,18.0,Good
0.0,28.0,96.0,26.0,57.0,3.0,Good
37.0,5.0,87.0,15.0,64.0,3.0,Bad
8.0,3.0,86.0,22.0,75.0,0.0,Good
89.0,6.0,89.0,20.0,83.0,20.0,Bad
27.0,8.0,83.0,12.0,60.0,3.0,Good
13.0,3.0,85.0,27.0,46.0,7.0,Good
3.0,33.0,98.0,50.0,25.0,7.0,Good
26.0,18.0,93.0,29.0,54.0,10.0,Good
51.0,4.0,76.0,30.0,80.0,4.0,Bad
47.0,72.0,79.0,14.0,100.0,8.0,Good
0.0,27.0,94.0,18.0,43.0,16.0,Good
32.0,26.0,86.0,22.0,64.0,1.0,Bad
56.0,4.0,92.0,39.0,83.0,2.0,Good
2.0,47.0,96.0,24.0,25.0,0.0,Good
37.0,13.0,93.0,14.0,71.0,7.0,Bad
8.0,59.0,92.0,13.0,67.0,1.0,Good
65.0,6.0,96.0,23.0,100.0,14.0,Good
49.0,59.0,97.0,37.0,83.0,13.0,Good
12.0,78.0,96.0,25.0,53.0,5.0,Good
25.0,4.0,80.0,21.0,46.0,6.0,Good
29.0,6.0,95.0,22.0,63.0,1.0,Bad
63.0,15.0,93.0,44.0,71.0,0.0,Good
8.0,24.0,90.0,10.0,67.0,3.0,Bad
93.0,3.0,89.0,9.0,100.0,16.0,Bad
16.0,36.0,97.0,34.0,45.0,6.0,Good
83.0,1.0,89.0,36.0,50.0,0.0,Good
55.0,0.0,89.0,45.0,63.0,0.0,Bad
48.0,53.0,97.0,31.0,81.0,9.0,Bad
54.0,35.0,91.0,34.0,64.0,1.0,Bad
14.0,27.0,96.0,26.0,62.0,3.0,Good
0.0,16.0,75.0,12.0,100.0,12.0,Good
53.0,27.0,94.0,32.0,50.0,1.0,Good
6.0,26.0,95.0,20.0,77.0,2.0,Good
6.0,34.0,88.0,25.0,50.0,1.0,Good
36.0,6.0,93.0,31.0,67.0,2.0,Good
14.0,19.0,90.0,30.0,75.0,2.0,Good
75.0,26.0,88.0,26.0,75.0,13.0,Bad
8.0,1.0,73.0,23.0,69.0,0.0,Bad
63.0,4.0,83.0,30.0,84.0,14.0,Bad
7.0,36.0,92.0,26.0,57.0,5.0,Good
31.0,15.0,94.0,33.0,77.0,4.0,Good
54.0,36.0,78.0,9.0,83.0,7.0,Good
33.0,44.0,93.0,27.0,82.0,0.0,Good
30.0,0.0,95.0,22.0,47.0,0.0,Bad
29.0,40.0,95.0,19.0,88.0,0.0,Bad
13.0,62.0,96.0,52.0,62.0,0.0,Good
0.0,56.0,97.0,31.0,36.0,0.0,Good
44.0,2.0,94.0,34.0,73.0,1.0,Bad
3.0,18.0,95.0,40.0,20.0,1.0,Good
43.0,43.0,95.0,20.0,71.0,6.0,Bad
29.0,1.0,91.0,35.0,50.0,0.0,Bad
83.0,41.0,91.0,22.0,79.0,1.0,Bad
42.0,17.0,79.0,28.0,45.0,1.0,Bad
5.0,1.0,92.0,12.0,75.0,0.0,Bad
64.0,4.0,67.0,21.0,100.0,0.0,Bad
72.0,2.0,85.0,26.0,92.0,0.0,Bad
72.0,2.0,87.0,31.0,88.0,0.0,Bad
60.0,40.0,60.0,15.0,86.0,0.0,Bad
40.0,78.0,92.0,13.0,100.0,0.0,Bad
21.0,22.0,95.0,21.0,67.0,0.0,Bad
53.0,1.0,76.0,34.0,75.0,0.0,Bad
46.0,22.0,89.0,18.0,75.0,3.0,Bad
51.0,20.0,89.0,32.0,73.0,15.0,Good
68.0,53.0,96.0,24.0,85.0,16.0,Bad
91.0,2.0,68.0,25.0,82.0,6.0,Good
67.0,71.0,91.0,32.0,91.0,0.0,Good
34.0,17.0,94.0,52.0,50.0,1.0,Good
48.0,5.0,96.0,26.0,50.0,8.0,Good
50.0,1.0,88.0,8.0,80.0,0.0,Bad
48.0,1.0,86.0,21.0,75.0,0.0,Bad
24.0,21.0,89.0,27.0,92.0,0.0,Bad
45.0,8.0,97.0,32.0,57.0,0.0,Bad
0.0,13.0,78.0,19.0,40.0,0.0,Bad
12.0,8.0,98.0,43.0,64.0,0.0,Good
52.0,3.0,97.0,30.0,100.0,0.0,Bad
94.0,32.0,87.0,30.0,100.0,0.0,Bad
43.0,3.0,96.0,28.0,78.0,0.0,Bad
99.0,32.0,91.0,23.0,100.0,0.0,Bad
48.0,5.0,86.0,35.0,62.0,0.0,Bad
4.0,41.0,92.0,25.0,75.0,1.0,Bad
41.0,6.0,98.0,48.0,80.0,0.0,Bad
49.0,20.0,81.0,16.0,100.0,0.0,Bad
38.0,4.0,47.0,19.0,57.0,5.0,Bad
48.0,38.0,96.0,25.0,70.0,4.0,Good
11.0,1.0,96.0,25.0,67.0,1.0,Bad
16.0,42.0,98.0,43.0,73.0,1.0,Good
62.0,4.0,82.0,34.0,78.0,19.0,Good
82.0,3.0,77.0,22.0,88.0,5.0,Good
38.0,11.0,90.0,41.0,56.0,8.0,Bad
73.0,8.0,88.0,8.0,80.0,0.0,Good
28.0,10.0,83.0,24.0,70.0,0.0,Good
30.0,12.0,82.0,13.0,100.0,0.0,Bad
49.0,7.0,96.0,25.0,75.0,0.0,Bad
59.0,8.0,97.0,38.0,69.0,0.0,Bad
82.0,23.0,84.0,32.0,73.0,0.0,Bad
0.0,76.0,96.0,23.0,57.0,0.0,Good
4.0,30.0,89.0,28.0,45.0,0.0,Good
0.0,4.0,97.0,35.0,38.0,0.0,Good
32.0,5.0,84.0,19.0,75.0,0.0,Bad
17.0,5.0,92.0,36.0,41.0,0.0,Good
73.0,7.0,67.0,15.0,100.0,0.0,Good
32.0,5.0,76.0,21.0,80.0,0.0,Bad
70.0,5.0,86.0,21.0,75.0,0.0,Good
17.0,0.0,85.0,27.0,75.0,0.0,Bad
44.0,15.0,98.0,54.0,55.0,0.0,Bad
88.0,4.0,92.0,13.0,89.0,0.0,Bad
77.0,8.0,96.0,26.0,100.0,0.0,Bad
67.0,2.0,72.0,19.0,100.0,0.0,Bad
70.0,3.0,65.0,20.0,64.0,0.0,Bad
17.0,8.0,73.0,37.0,62.0,0.0,Bad
25.0,6.0,85.0,26.0,63.0,0.0,Bad
29.0,12.0,89.0,19.0,88.0,0.0,Bad
27.0,8.0,83.0,12.0,83.0,0.0,Bad
60.0,38.0,88.0,33.0,75.0,0.0,Bad
62.0,11.0,95.0,22.0,89.0,0.0,Bad
67.0,1.0,94.0,31.0,86.0,0.0,Bad
54.0,0.0,96.0,23.0,92.0,0.0,Bad
40.0,3.0,88.0,17.0,100.0,0.0,Bad
27.0,8.0,70.0,24.0,82.0,0.0,Bad
46.0,6.0,92.0,49.0,67.0,0.0,Bad
84.0,6.0,67.0,9.0,75.0,0.0,Bad
41.0,26.0,81.0,16.0,100.0,0.0,Bad
54.0,6.0,91.0,35.0,69.0,0.0,Bad
78.0,4.0,95.0,22.0,79.0,0.0,Bad
47.0,27.0,94.0,35.0,92.0,0.0,Good
60.0,2.0,93.0,29.0,60.0,0.0,Bad
1.0,25.0,97.0,35.0,36.0,0.0,Bad
32.0,3.0,78.0,9.0,83.0,0.0,Bad
75.0,9.0,74.0,23.0,100.0,0.0,Bad
77.0,2.0,67.0,12.0,100.0,0.0,Bad
0.0,23.0,97.0,34.0,33.0,0.0,Good
17.0,5.0,90.0,10.0,89.0,0.0,Bad
51.0,20.0,95.0,37.0,69.0,0.0,Bad
20.0,6.0,92.0,39.0,72.0,0.0,Bad
53.0,1.0,94.0,17.0,60.0,0.0,Bad
81.0,79.0,67.0,8.0,75.0,0.0,Bad
31.0,1.0,92.0,24.0,73.0,0.0,Good
33.0,5.0,64.0,25.0,58.0,0.0,Bad
0.0,24.0,91.0,45.0,58.0,0.0,Bad
31.0,11.0,90.0,20.0,60.0,0.0,Bad
21.0,30.0,93.0,15.0,44.0,0.0,Bad
60.0,5.0,75.0,31.0,64.0,0.0,Good
44.0,1.0,90.0,11.0,86.0,3.0,Bad
8.0,13.0,73.0,30.0,63.0,0.0,Bad
17.0,1.0,75.0,38.0,68.0,2.0,Bad
42.0,23.0,86.0,22.0,67.0,1.0,Bad
30.0,10.0,96.0,23.0,100.0,3.0,Bad
101.0,5.0,94.0,16.0,86.0,2.0,Bad
50.0,34.0,75.0,12.0,71.0,9.0,Bad
57.0,2.0,88.0,41.0,79.0,3.0,Bad
34.0,2.0,91.0,22.0,75.0,0.0,Bad
9.0,3.0,96.0,23.0,70.0,1.0,Bad
73.0,2.0,85.0,28.0,58.0,8.0,Bad
39.0,4.0,84.0,31.0,54.0,4.0,Good
81.0,64.0,90.0,21.0,100.0,5.0,Bad
88.0,61.0,89.0,28.0,90.0,0.0,Bad
12.0,18.0,88.0,26.0,64.0,0.0,Good
48.0,40.0,72.0,32.0,67.0,1.0,Bad
6.0,9.0,91.0,23.0,80.0,4.0,Good
92.0,11.0,62.0,13.0,100.0,0.0,Bad
42.0,26.0,95.0,38.0,75.0,4.0,Good
32.0,61.0,97.0,37.0,75.0,8.0,Good
44.0,0.0,86.0,21.0,100.0,4.0,Good
11.0,15.0,91.0,23.0,67.0,5.0,Good
0.0,17.0,93.0,15.0,50.0,1.0,Good
37.0,44.0,85.0,33.0,82.0,2.0,Good
1.0,53.0,90.0,10.0,80.0,21.0,Good
91.0,1.0,89.0,28.0,100.0,0.0,Good
50.0,1.0,98.0,46.0,73.0,5.0,Bad
34.0,7.0,94.0,34.0,64.0,7.0,Good
10.0,17.0,75.0,16.0,67.0,3.0,Bad
0.0,8.0,82.0,18.0,83.0,1.0,Good
30.0,2.0,93.0,29.0,80.0,8.0,Good
27.0,17.0,97.0,33.0,29.0,12.0,Good
29.0,27.0,95.0,37.0,63.0,0.0,Good
58.0,43.0,94.0,33.0,94.0,1.0,Good
45.0,12.0,73.0,30.0,100.0,1.0,Good
12.0,40.0,89.0,27.0,60.0,1.0,Good
2.0,46.0,95.0,22.0,50.0,2.0,Good
16.0,43.0,96.0,26.0,38.0,11.0,Good
17.0,7.0,96.0,27.0,60.0,2.0,Good
5.0,6.0,86.0,7.0,60.0,10.0,Bad
40.0,44.0,88.0,43.0,71.0,2.0,Bad
31.0,9.0,96.0,23.0,78.0,0.0,Good
32.0,3.0,90.0,31.0,57.0,6.0,Bad
67.0,72.0,97.0,37.0,85.0,1.0,Bad
36.0,32.0,94.0,18.0,54.0,1.0,Good
16.0,23.0,91.0,44.0,75.0,1.0,Good
4.0,59.0,98.0,63.0,38.0,6.0,Good
48.0,2.0,79.0,29.0,67.0,6.0,Bad
34.0,64.0,92.0,12.0,44.0,0.0,Good
15.0,23.0,98.0,56.0,54.0,5.0,Good
15.0,40.0,97.0,35.0,53.0,0.0,Bad
72.0,7.0,70.0,27.0,54.0,0.0,Bad
90.0,15.0,90.0,20.0,83.0,0.0,Bad
47.0,20.0,95.0,22.0,73.0,0.0,Bad
11.0,22.0,65.0,23.0,57.0,0.0,Good
1.0,28.0,82.0,34.0,30.0,0.0,Good
48.0,2.0,81.0,21.0,73.0,0.0,Bad
0.0,14.0,56.0,25.0,18.0,0.0,Bad
30.0,23.0,71.0,14.0,83.0,0.0,Good
93.0,4.0,80.0,15.0,100.0,0.0,Bad
24.0,16.0,81.0,21.0,46.0,0.0,Bad
17.0,21.0,87.0,23.0,60.0,0.0,Bad
73.0,71.0,96.0,23.0,58.0,0.0,Good
14.0,65.0,98.0,42.0,50.0,0.0,Bad
14.0,72.0,95.0,19.0,56.0,0.0,Good
84.0,6.0,71.0,21.0,90.0,0.0,Bad
21.0,11.0,82.0,17.0,67.0,0.0,Bad
9.0,2.0,84.0,19.0,57.0,0.0,Bad
80.0,27.0,85.0,13.0,80.0,0.0,Bad
0.0,3.0,67.0,3.0,67.0,0.0,Bad
12.0,39.0,95.0,42.0,36.0,0.0,Bad
14.0,5.0,90.0,21.0,50.0,0.0,Good
45.0,6.0,88.0,17.0,43.0,0.0,Bad
52.0,50.0,93.0,29.0,67.0,0.0,Bad
42.0,41.0,83.0,12.0,75.0,0.0,Bad
10.0,15.0,80.0,15.0,50.0,0.0,Bad
24.0,70.0,85.0,13.0,90.0,0.0,Good
72.0,6.0,81.0,21.0,100.0,0.0,Bad
59.0,0.0,63.0,17.0,85.0,0.0,Bad
50.0,8.0,78.0,9.0,67.0,0.0,Good
3.0,5.0,98.0,40.0,45.0,0.0,Bad
68.0,54.0,89.0,18.0,83.0,0.0,Good
44.0,9.0,74.0,23.0,57.0,0.0,Bad
24.0,36.0,88.0,17.0,67.0,0.0,Bad
6.0,27.0,96.0,28.0,32.0,0.0,Bad
60.0,38.0,93.0,29.0,70.0,0.0,Bad
9.0,23.0,98.0,44.0,50.0,0.0,Good
24.0,1.0,50.0,16.0,44.0,0.0,Bad
40.0,13.0,96.0,24.0,64.0,0.0,Bad
0.0,63.0,95.0,19.0,25.0,0.0,Good
27.0,76.0,90.0,21.0,62.0,0.0,Good
18.0,52.0,94.0,16.0,46.0,0.0,Bad
23.0,1.0,77.0,13.0,73.0,0.0,Bad
29.0,27.0,87.0,17.0,67.0,0.0,Good
28.0,42.0,96.0,25.0,71.0,0.0,Good
35.0,59.0,95.0,58.0,39.0,0.0,Bad
62.0,32.0,94.0,19.0,78.0,0.0,Bad
41.0,59.0,89.0,10.0,88.0,0.0,Bad
17.0,10.0,97.0,35.0,41.0,0.0,Good
7.0,13.0,91.0,43.0,30.0,0.0,Bad
85.0,10.0,43.0,7.0,100.0,0.0,Bad
60.0,17.0,91.0,22.0,64.0,0.0,Good
17.0,1.0,78.0,32.0,65.0,0.0,Good
54.0,13.0,98.0,41.0,67.0,0.0,Good
21.0,6.0,94.0,17.0,54.0,0.0,Bad
63.0,3.0,87.0,23.0,91.0,0.0,Good
31.0,23.0,98.0,43.0,79.0,0.0,Bad
58.0,17.0,94.0,32.0,93.0,0.0,Bad
89.0,19.0,83.0,13.0,88.0,0.0,Bad
53.0,18.0,91.0,23.0,71.0,0.0,Bad
34.0,15.0,31.0,17.0,86.0,0.0,Bad
53.0,22.0,82.0,11.0,89.0,0.0,Bad
5.0,81.0,95.0,19.0,27.0,0.0,Good
48.0,81.0,91.0,11.0,88.0,0.0,Bad
84.0,43.0,83.0,19.0,73.0,0.0,Bad
50.0,1.0,91.0,23.0,69.0,0.0,Bad
49.0,19.0,79.0,29.0,83.0,0.0,Bad
88.0,6.0,80.0,10.0,100.0,0.0,Bad
21.0,4.0,74.0,21.0,71.0,0.0,Bad
18.0,6.0,65.0,20.0,64.0,0.0,Bad
78.0,5.0,84.0,32.0,78.0,0.0,Bad
26.0,20.0,98.0,41.0,53.0,0.0,Bad
17.0,6.0,91.0,23.0,61.0,0.0,Bad
7.0,9.0,67.0,15.0,60.0,0.0,Bad
13.0,36.0,94.0,34.0,38.0,0.0,Good
44.0,4.0,75.0,24.0,50.0,0.0,Bad
44.0,4.0,88.0,17.0,50.0,0.0,Bad
57.0,6.0,76.0,25.0,88.0,0.0,Bad
54.0,18.0,82.0,17.0,80.0,0.0,Bad
100.0,2.0,67.0,3.0,67.0,0.0,Bad
27.0,51.0,83.0,23.0,70.0,0.0,Good
75.0,1.0,60.0,10.0,100.0,0.0,Bad
104.0,2.0,55.0,11.0,100.0,0.0,Bad
11.0,26.0,56.0,16.0,50.0,0.0,Good
54.0,53.0,78.0,23.0,62.0,0.0,Bad
67.0,1.0,56.0,9.0,100.0,0.0,Bad
43.0,14.0,80.0,25.0,79.0,0.0,Good
0.0,7.0,72.0,18.0,33.0,0.0,Bad
70.0,41.0,87.0,24.0,79.0,0.0,Bad
15.0,39.0,95.0,22.0,73.0,0.0,Bad
72.0,13.0,80.0,11.0,83.0,0.0,Bad
88.0,27.0,61.0,19.0,100.0,0.0,Bad
68.0,24.0,82.0,11.0,100.0,0.0,Good
0.0,5.0,80.0,5.0,50.0,0.0,Good
87.0,6.0,74.0,23.0,92.0,0.0,Bad
50.0,15.0,87.0,15.0,88.0,0.0,Bad
3.0,11.0,88.0,8.0,100.0,0.0,Bad
71.0,0.0,78.0,27.0,69.0,0.0,Bad
48.0,2.0,95.0,22.0,67.0,0.0,Good
98.0,39.0,90.0,29.0,88.0,0.0,Bad
71.0,3.0,86.0,18.0,83.0,0.0,Bad
93.0,8.0,60.0,31.0,100.0,0.0,Good
60.0,36.0,95.0,19.0,82.0,0.0,Good
72.0,1.0,84.0,44.0,64.0,0.0,Bad
0.0,2.0,92.0,24.0,80.0,10.0,Good
16.0,0.0,84.0,26.0,38.0,2.0,Bad
38.0,16.0,64.0,14.0,86.0,20.0,Bad
30.0,4.0,88.0,34.0,100.0,0.0,Bad
10.0,3.0,96.0,23.0,69.0,2.0,Good
5.0,29.0,97.0,35.0,54.0,0.0,Good
85.0,15.0,96.0,28.0,90.0,2.0,Good
23.0,5.0,94.0,32.0,67.0,5.0,Bad
61.0,14.0,78.0,27.0,67.0,2.0,Bad
80.0,29.0,70.0,20.0,100.0,7.0,Bad
77.0,14.0,91.0,22.0,89.0,1.0,Bad
46.0,29.0,80.0,20.0,100.0,16.0,Good
74.0,16.0,91.0,23.0,91.0,2.0,Good
44.0,9.0,80.0,25.0,86.0,3.0,Bad
0.0,1.0,80.0,25.0,33.0,1.0,Bad
0.0,27.0,92.0,25.0,53.0,2.0,Good
14.0,5.0,83.0,12.0,63.0,1.0,Bad
23.0,50.0,89.0,38.0,100.0,7.0,Bad
16.0,32.0,89.0,29.0,47.0,1.0,Good
13.0,7.0,83.0,18.0,60.0,11.0,Good
35.0,10.0,75.0,24.0,55.0,4.0,Bad
26.0,44.0,91.0,35.0,56.0,2.0,Bad
27.0,26.0,67.0,21.0,80.0,0.0,Good
77.0,6.0,83.0,29.0,86.0,1.0,Good
54.0,4.0,88.0,42.0,67.0,4.0,Bad
0.0,52.0,95.0,23.0,33.0,24.0,Bad
84.0,48.0,98.0,42.0,70.0,5.0,Good
27.0,20.0,88.0,26.0,57.0,0.0,Bad
37.0,62.0,88.0,17.0,63.0,2.0,Good
8.0,5.0,96.0,28.0,64.0,15.0,Good
94.0,0.0,69.0,13.0,80.0,12.0,Bad
54.0,4.0,91.0,37.0,82.0,5.0,Bad
22.0,60.0,98.0,56.0,55.0,8.0,Good
4.0,32.0,79.0,33.0,32.0,2.0,Good
59.0,9.0,94.0,36.0,75.0,0.0,Bad
82.0,33.0,88.0,27.0,71.0,0.0,Good
39.0,15.0,93.0,28.0,50.0,0.0,Bad
53.0,7.0,75.0,16.0,50.0,0.0,Bad
70.0,16.0,94.0,16.0,80.0,0.0,Bad
1.0,16.0,86.0,22.0,36.0,0.0,Good
22.0,2.0,76.0,22.0,67.0,3.0,Good
49.0,6.0,82.0,28.0,86.0,1.0,Good
57.0,30.0,90.0,30.0,76.0,1.0,Good
12.0,16.0,78.0,9.0,75.0,19.0,Bad
0.0,11.0,63.0,8.0,75.0,8.0,Bad
55.0,25.0,96.0,25.0,71.0,5.0,Bad
56.0,2.0,93.0,14.0,78.0,7.0,Bad
2.0,52.0,97.0,33.0,42.0,2.0,Good
38.0,26.0,80.0,15.0,86.0,1.0,Bad
7.0,46.0,98.0,41.0,58.0,2.0,Good
81.0,56.0,92.0,26.0,64.0,7.0,Good
74.0,44.0,96.0,24.0,100.0,1.0,Good
126.0,2.0,57.0,7.0,100.0,0.0,Bad
48.0,66.0,88.0,24.0,69.0,19.0,Bad
26.0,39.0,98.0,41.0,71.0,10.0,Good
13.0,42.0,96.0,23.0,64.0,5.0,Good
48.0,4.0,86.0,43.0,81.0,7.0,Bad
54.0,45.0,79.0,19.0,70.0,4.0,Bad
4.0,21.0,97.0,31.0,14.0,11.0,Good
76.0,7.0,87.0,41.0,71.0,0.0,Good
32.0,74.0,96.0,25.0,64.0,2.0,Good
70.0,11.0,87.0,31.0,94.0,10.0,Good
11.0,46.0,93.0,27.0,75.0,1.0,Good
37.0,8.0,69.0,13.0,70.0,4.0,Good
7.0,52.0,91.0,11.0,83.0,6.0,Good
18.0,1.0,92.0,12.0,78.0,0.0,Bad
34.0,40.0,92.0,24.0,83.0,2.0,Good
0.0,35.0,90.0,10.0,60.0,3.0,Good
53.0,11.0,70.0,24.0,89.0,18.0,Good
26.0,45.0,97.0,39.0,38.0,3.0,Good
55.0,3.0,48.0,21.0,100.0,2.0,Good
33.0,25.0,97.0,30.0,73.0,2.0,Good
30.0,34.0,96.0,63.0,77.0,0.0,Good
7.0,0.0,77.0,13.0,67.0,0.0,Bad
21.0,4.0,91.0,23.0,88.0,4.0,Good
72.0,7.0,63.0,8.0,86.0,1.0,Bad
9.0,9.0,94.0,17.0,44.0,12.0,Good
27.0,0.0,89.0,19.0,83.0,0.0,Bad
50.0,32.0,97.0,30.0,88.0,1.0,Good
1.0,1.0,92.0,26.0,73.0,17.0,Good
6.0,17.0,80.0,20.0,83.0,1.0,Good
26.0,3.0,86.0,37.0,71.0,5.0,Good
57.0,46.0,95.0,21.0,91.0,7.0,Bad
43.0,13.0,97.0,33.0,67.0,3.0,Good
52.0,74.0,92.0,16.0,100.0,0.0,Bad
85.0,2.0,94.0,36.0,96.0,0.0,Bad
46.0,14.0,97.0,32.0,83.0,0.0,Good
36.0,27.0,95.0,61.0,59.0,0.0,Bad
75.0,8.0,90.0,21.0,80.0,0.0,Bad
2.0,65.0,96.0,25.0,67.0,0.0,Good
61.0,4.0,64.0,14.0,86.0,0.0,Bad
51.0,4.0,65.0,17.0,100.0,0.0,Bad
3.0,11.0,92.0,26.0,67.0,0.0,Bad
54.0,10.0,81.0,27.0,100.0,0.0,Good
68.0,20.0,75.0,13.0,86.0,0.0,Bad
6.0,29.0,87.0,23.0,31.0,0.0,Good
33.0,2.0,79.0,29.0,76.0,0.0,Good
60.0,72.0,85.0,21.0,78.0,0.0,Bad
41.0,5.0,90.0,31.0,75.0,0.0,Bad
46.0,4.0,93.0,15.0,100.0,0.0,Good
83.0,1.0,83.0,18.0,90.0,0.0,Bad
63.0,3.0,68.0,20.0,82.0,0.0,Bad
92.0,42.0,93.0,14.0,100.0,0.0,Good
14.0,40.0,90.0,20.0,80.0,0.0,Bad
82.0,22.0,96.0,28.0,83.0,0.0,Bad
66.0,7.0,86.0,15.0,90.0,0.0,Bad
